fold,train_start,train_end,validation_start,validation_end,model,input_window,feature_variant,feature_type,feature_num,factor_group,features,rounds,best_iteration,best_selection_score,validation_rank_ic,validation_universe_return,validation_top5_return,validation_top5_excess_return,validation_top5_excess_return_std,validation_top5_excess_return_min,validation_top5_excess_positive_rate,validation_top5_precision,validation_top10_return,validation_top10_excess_return,validation_top10_excess_return_min,validation_top10_excess_positive_rate,validation_top10_precision,train_groups,validation_groups,train_rows,validation_rows,seconds
rolling_1,2023-01-09,2026-01-26,2026-01-26,2026-03-09,xgb_rank_pairwise,1,xsec,window+xsec,window_01+xsec,all_window,127,120,19,0.025846,0.0035887415786931796,-0.006289350809569451,0.019556164101231847,0.025845514910801295,0.028343107243441492,-0.006484423942490405,0.75,0.1,0.00736515803146176,0.013654508841031213,-0.006134405933878308,0.75,0.07500000000000001,133,4,39525,1200,1.5122754573822021
rolling_1,2023-01-09,2026-01-26,2026-01-26,2026-03-09,xgb_rank_pairwise,1,xsec,window+xsec,window_01+xsec,momentum,57,120,28,0.023726,0.1442843769548475,-0.006289350809569451,0.017436214094050228,0.023725564903619684,0.02352479544314308,-0.004171708543241645,0.75,0.0,0.011542703601298854,0.017832054410868305,-0.0034575758423646148,0.5,0.025,133,4,39525,1200,1.8097565174102783
rolling_1,2023-01-09,2026-01-26,2026-01-26,2026-03-09,xgb_rank_pairwise,1,xsec,window+xsec,window_01+xsec,reversal,40,120,18,0.055707,0.10427127201415168,-0.006289350809569451,0.04941718378104269,0.055706534590612145,0.04711248804725212,0.001762985959261035,1.0,0.1,0.02006115210242569,0.026350502911995147,0.00039273180028734107,1.0,0.15,133,4,39525,1200,1.0268688201904297
rolling_2,2023-01-09,2026-03-09,2026-03-09,2026-04-13,xgb_rank_pairwise,1,xsec,window+xsec,window_01+xsec,all_window,127,120,6,0.023888,0.047904642475209425,-0.00566668835116919,0.018220838531851767,0.02388752688302096,0.013347588101791074,0.013020943844264063,1.0,0.0,0.004076162935234606,0.009742851286403797,-0.009607278958186118,0.75,0.0,137,4,40725,1200,1.3135497570037842
rolling_2,2023-01-09,2026-03-09,2026-03-09,2026-04-13,xgb_rank_pairwise,1,xsec,window+xsec,window_01+xsec,momentum,57,120,8,0.032209,0.048765007416178466,-0.00566668835116919,0.02654248296748847,0.032209171318657664,0.028689688779655425,0.00485197640353969,1.0,0.05,0.009366898168809711,0.015033586519978902,5.4011091366799185e-05,1.0,0.025,137,4,40725,1200,1.081451416015625
rolling_2,2023-01-09,2026-03-09,2026-03-09,2026-04-13,xgb_rank_pairwise,1,xsec,window+xsec,window_01+xsec,reversal,40,120,14,0.035501,-0.002854587424960111,-0.00566668835116919,0.02983416188508272,0.03550085023625191,0.020883531222963558,0.004501945519392999,1.0,0.05,0.020876038924325258,0.02654272727549445,0.014657863223498376,1.0,0.05,137,4,40725,1200,1.0159571170806885
rolling_3,2023-01-09,2026-04-13,2026-04-13,2026-05-25,xgb_rank_pairwise,1,xsec,window+xsec,window_01+xsec,all_window,127,120,54,0.013941,0.03443377927220114,0.0018528022019078587,0.015793344943449483,0.013940542741541625,0.020168211003668963,-0.004934117545538659,0.75,0.05,0.005804825137784064,0.003952022935876206,-0.009147587768190229,0.75,0.05,141,4,41925,1200,2.181766986846924
rolling_3,2023-01-09,2026-04-13,2026-04-13,2026-05-25,xgb_rank_pairwise,1,xsec,window+xsec,window_01+xsec,momentum,57,120,6,0.002019,0.008703194175190946,0.0018528022019078587,0.0038721858934877675,0.0020193836915799097,0.010667121443724122,-0.0059393004673377915,0.25,0.0,-0.0037223008212095014,-0.005575103023117359,-0.011663917846211309,0.25,0.0,141,4,41925,1200,1.0803565979003906
rolling_3,2023-01-09,2026-04-13,2026-04-13,2026-05-25,xgb_rank_pairwise,1,xsec,window+xsec,window_01+xsec,reversal,40,120,7,0.008771,0.0010268147827461236,0.0018528022019078587,0.010623778275112272,0.008770976073204415,0.012232128411412444,-0.004504776627921577,0.75,0.0,0.004361206718203902,0.002508404516296044,-0.004185743645842498,0.25,0.0,141,4,41925,1200,1.0217647552490234
rolling_4,2023-01-09,2026-05-25,2026-05-25,2026-06-29,xgb_rank_pairwise,1,xsec,window+xsec,window_01+xsec,all_window,127,120,14,0.007675,0.09584270644272455,0.0003832443899712719,0.00805830613244325,0.007675061742471977,0.021440759106532464,-0.02373832071258221,0.75,0.0,0.004619521426502615,0.004236277036531342,-0.017951630515162832,0.75,0.0,145,4,43125,1200,1.2916498184204102
